metric,GMV (cap+beta),MaxSharpe (cap+beta)
CAGR (net),0.23511376216041913,0.33687198478796554
Vol (ann),0.1839741916046284,0.22999755419294263
"Sharpe (net, rf monthly)",1.1695412689963784,1.3268982202974893
Max Drawdown,-0.39784558535696357,-0.3816137241004761
Avg Turnover,0.1274894841744142,0.24327152199784682
